id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,has_review,estimated_revenue,minimum_nights_category,price_category,availability_category,month,season
12163892,23348357,Vadhana,13.74012,100.58091,Entire home/apt,1000,30,12,2022-03-20,0.15,1,271,1,1,94000,Sedang (8-30 hari),Rendah,Sedang (100-300 hari),3.0,Mid Season
12296731,32044631,Rat Burana,13.68474,100.50138,Private room,950,2,2,2022-07-29,0.02,1,365,1,1,0,Pendek (1-7 hari),Rendah,Tinggi (>300 hari),7.0,Low Season
12860175,42767433,Phra Khanong,13.6972,100.60525,Entire home/apt,790,29,65,2020-12-30,0.82,1,0,0,1,288350,Sedang (8-30 hari),Rendah,Rendah (<100 hari),12.0,High Season
12164078,62362479,Khlong Toei,13.71107,100.58325,Entire home/apt,700,2,9,2018-02-01,0.11,3,79,0,1,200200,Pendek (1-7 hari),Rendah,Rendah (<100 hari),2.0,High Season
12862003,8444643,Vadhana,13.7079,100.60222,Private room,1399,1,11,2022-11-05,0.14,53,340,1,1,34975,Pendek (1-7 hari),Sedang,Tinggi (>300 hari),11.0,High Season
13240263,19675178,Parthum Wan,13.7368,100.55054,Private room,1500,180,12,2020-03-20,0.15,1,0,0,1,547500,Panjang (>30 hari),Sedang,Rendah (<100 hari),3.0,Mid Season
12312578,42696116,Sathon,13.71688,100.51712,Entire home/apt,1000,60,0,,0.0,1,171,0,0,194000,Panjang (>30 hari),Rendah,Sedang (100-300 hari),,Unknown
12878566,67561763,Saphan Sung,13.77729,100.6849,Private room,900,1,0,,0.0,2,363,0,0,1800,Pendek (1-7 hari),Rendah,Tinggi (>300 hari),,Unknown
12318502,66451193,Bang Na,13.68033,100.61159,Entire home/apt,540,4,52,2022-09-21,0.64,6,70,6,1,159300,Pendek (1-7 hari),Rendah,Rendah (<100 hari),9.0,Low Season
13251187,58653244,Yan na wa,13.67585,100.5352,Entire home/apt,1039,2,1,2017-06-21,0.01,1,169,0,1,203644,Pendek (1-7 hari),Sedang,Sedang (100-300 hari),6.0,Low Season
13251796,71891918,Khlong San,13.72114,100.49538,Private room,1633,1,0,,0.0,5,365,0,0,0,Pendek (1-7 hari),Sedang,Tinggi (>300 hari),,Unknown
13257563,74607170,Vadhana,13.71543,100.59191,Private room,1000,180,0,,0.0,1,358,0,0,7000,Panjang (>30 hari),Rendah,Tinggi (>300 hari),,Unknown
12882548,67561763,Saphan Sung,13.77695,100.68496,Private room,2500,1,0,,0.0,2,364,0,0,2500,Pendek (1-7 hari),Tinggi,Tinggi (>300 hari),,Unknown
12326209,10950957,Phaya Thai,13.78877,100.55046,Private room,826,1,76,2019-02-04,0.98,4,365,0,1,0,Pendek (1-7 hari),Rendah,Tinggi (>300 hari),2.0,High Season
12328542,10950957,Phaya Thai,13.78908,100.55028,Private room,826,1,24,2019-01-20,0.3,4,365,0,1,0,Pendek (1-7 hari),Rendah,Tinggi (>300 hari),1.0,High Season
12905268,14363728,Huai Khwang,13.76048,100.56886,Entire home/apt,1657,90,0,,0.0,3,363,0,0,3314,Panjang (>30 hari),Sedang,Tinggi (>300 hari),,Unknown
12329078,66535604,Bang Rak,13.72371,100.52687,Shared room,1200,1,0,,0.0,1,364,0,0,1200,Pendek (1-7 hari),Sedang,Tinggi (>300 hari),,Unknown
12331724,1927968,Sathon,13.72062,100.54707,Entire home/apt,651,1,139,2022-12-13,1.71,37,312,5,1,34503,Pendek (1-7 hari),Rendah,Tinggi (>300 hari),12.0,High Season
12332076,1927968,Sathon,13.72062,100.54707,Entire home/apt,721,1,133,2022-11-15,1.73,37,323,9,1,30282,Pendek (1-7 hari),Rendah,Tinggi (>300 hari),11.0,High Season
